card_id,well_id,actual_condition,predicted_condition,confidence,prob_normal,prob_rod_floating,prob_fluid_pound,prob_gas_interference,risk_score,severity,split,engineering_explanation,recommended_action,contributing_factors
36a95731,WELL-011,Normal,Normal,0.933,0.933,0.0662,0.0,0.0008,3.7,Low,train,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
594acd64,WELL-014,Gas Interference,Gas Interference,0.746,0.2535,0.0001,0.0004,0.746,44.3,Medium,train,Compressible free gas inside the pump barrel is delaying traveling valve opening on downstroke. Volumetric lifting capacity is degraded due to cyclic gas compression. Root factors: Narrow load swing (3036 lbf) reflects cushioned valve response.,ADVISORY: Monitor casinghead gas backpressure. Optimize stroke length vs SPM to maximize compression ratio in barrel.,Narrow load swing (3036 lbf) reflects cushioned valve response
2e42a9ff,WELL-004,Normal,Normal,0.9783,0.9783,0.0144,0.0,0.0073,5.2,Low,train,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
210cd9ce,WELL-013,Fluid Pound,Fluid Pound,0.9998,0.0,0.0,0.9998,0.0002,86.3,Critical,train,"Incomplete pump barrel fillage diagnosed due to reservoir inflow deficit (808 ft fluid level). Plunger free-falls through vapor pocket before abruptly impacting fluid surface on downstroke, transmitting shock waves to polished rod and gearbox. Root factors: Depleted fluid column (808 ft above pump) indicates pump-off condition; Low pump submergence ratio (23.5%); Sharp fluid-surface impact shock detected (slope_z=46.9); Depressed minimum load (3080 lbf) flags plunger free-fall inside barrel.",IMMEDIATE ACTION: Throttle pump speed from 6.4 SPM to 4.5 SPM or activate automatic Pump-Off Controller (POC) with intermittent timer (duty cycling) to permit annular fluid recovery. Inspect valves and rod guides.,Depleted fluid column (808 ft above pump) indicates pump-off condition | Low pump submergence ratio (23.5%) | Sharp fluid-surface impact shock detected (slope_z=46.9) | Depressed minimum load (3080 lbf) flags plunger free-fall inside barrel
68904d4b,WELL-010,Gas Interference,Gas Interference,0.8619,0.1373,0.0,0.0007,0.8619,35.6,Medium,train,Compressible free gas inside the pump barrel is delaying traveling valve opening on downstroke. Volumetric lifting capacity is degraded due to cyclic gas compression. Root factors: Narrow load swing (4388 lbf) reflects cushioned valve response.,ADVISORY: Monitor casinghead gas backpressure. Optimize stroke length vs SPM to maximize compression ratio in barrel.,Narrow load swing (4388 lbf) reflects cushioned valve response
663d496e,WELL-007,Rod Floating,Rod Floating,0.9998,0.0002,0.9998,0.0,0.0,77.4,High,train,Severe downstroke rod deceleration diagnosed. Downstroke velocity lag caused by heavy crude drag (648 cP) and pumping speed (9.1 SPM) creates compressive rod stress and sharp impact on plunger re-engagement. Root factors: Elevated viscosity (647.6 cP) increases rod downstroke fluid drag; High pumping speed (9.1 SPM) exceeds rod free-fall velocity limit; Low wellbore temperature (112.6 °F) exacerbates fluid thickening; Severe mechanical impact spike detected on downstroke (slope_z=91.4).,IMMEDIATE ACTION: Reduce VFD stroke speed from 9.1 SPM to 6.8 SPM to restore gravity downstroke tracking. Schedule CSS (Cyclic Steam Stimulation) / diluent injection to reduce crude viscosity. Inspect rod string for compressive buckling.,Elevated viscosity (647.6 cP) increases rod downstroke fluid drag | High pumping speed (9.1 SPM) exceeds rod free-fall velocity limit | Low wellbore temperature (112.6 °F) exacerbates fluid thickening | Severe mechanical impact spike detected on downstroke (slope_z=91.4)
99f385b5,WELL-016,Normal,Normal,0.9952,0.9952,0.0019,0.0001,0.0029,4.0,Low,val,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
83e8ae54,WELL-015,Normal,Normal,0.9583,0.9583,0.0373,0.0,0.0044,4.7,Low,train,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
2e2da318,WELL-015,Normal,Normal,0.9497,0.9497,0.0468,0.0,0.0035,4.6,Low,train,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
a54c78ec,WELL-018,Gas Interference,Normal,0.5335,0.5335,0.0001,0.0002,0.4663,25.3,Medium,train,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating parameters within nominal thresholds.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,
6b2d135b,WELL-015,Rod Floating,Rod Floating,0.9999,0.0001,0.9999,0.0,0.0,80.1,Critical,train,Severe downstroke rod deceleration diagnosed. Downstroke velocity lag caused by heavy crude drag (651 cP) and pumping speed (9.2 SPM) creates compressive rod stress and sharp impact on plunger re-engagement. Root factors: Elevated viscosity (651.4 cP) increases rod downstroke fluid drag; High pumping speed (9.2 SPM) exceeds rod free-fall velocity limit; Low wellbore temperature (111.8 °F) exacerbates fluid thickening; Severe mechanical impact spike detected on downstroke (slope_z=124.0).,IMMEDIATE ACTION: Reduce VFD stroke speed from 9.2 SPM to 6.9 SPM to restore gravity downstroke tracking. Schedule CSS (Cyclic Steam Stimulation) / diluent injection to reduce crude viscosity. Inspect rod string for compressive buckling.,Elevated viscosity (651.4 cP) increases rod downstroke fluid drag | High pumping speed (9.2 SPM) exceeds rod free-fall velocity limit | Low wellbore temperature (111.8 °F) exacerbates fluid thickening | Severe mechanical impact spike detected on downstroke (slope_z=124.0)
18ca93e7,WELL-012,Normal,Normal,0.9761,0.9761,0.0181,0.0,0.0058,5.8,Low,train,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
b314fddd,WELL-004,Normal,Normal,0.9735,0.9735,0.0207,0.0,0.0058,5.1,Low,train,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
dbb4a2f8,WELL-008,Gas Interference,Gas Interference,0.6248,0.3743,0.0,0.0009,0.6248,31.4,Medium,train,Compressible free gas inside the pump barrel is delaying traveling valve opening on downstroke. Volumetric lifting capacity is degraded due to cyclic gas compression. Root factors: Narrow load swing (4702 lbf) reflects cushioned valve response.,ADVISORY: Monitor casinghead gas backpressure. Optimize stroke length vs SPM to maximize compression ratio in barrel.,Narrow load swing (4702 lbf) reflects cushioned valve response
a0fb091a,WELL-013,Fluid Pound,Fluid Pound,0.9996,0.0,0.0,0.9996,0.0004,87.7,Critical,train,"Incomplete pump barrel fillage diagnosed due to reservoir inflow deficit (822 ft fluid level). Plunger free-falls through vapor pocket before abruptly impacting fluid surface on downstroke, transmitting shock waves to polished rod and gearbox. Root factors: Depleted fluid column (822 ft above pump) indicates pump-off condition; Low pump submergence ratio (23.9%); Sharp fluid-surface impact shock detected (slope_z=54.3); Depressed minimum load (3037 lbf) flags plunger free-fall inside barrel.",IMMEDIATE ACTION: Throttle pump speed from 6.5 SPM to 4.5 SPM or activate automatic Pump-Off Controller (POC) with intermittent timer (duty cycling) to permit annular fluid recovery. Inspect valves and rod guides.,Depleted fluid column (822 ft above pump) indicates pump-off condition | Low pump submergence ratio (23.9%) | Sharp fluid-surface impact shock detected (slope_z=54.3) | Depressed minimum load (3037 lbf) flags plunger free-fall inside barrel
ed3a5385,WELL-013,Normal,Normal,0.9906,0.9906,0.0073,0.0,0.0021,5.2,Low,train,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
b494abb5,WELL-020,Rod Floating,Rod Floating,0.9999,0.0001,0.9999,0.0,0.0,76.7,High,val,Severe downstroke rod deceleration diagnosed. Downstroke velocity lag caused by heavy crude drag (893 cP) and pumping speed (7.2 SPM) creates compressive rod stress and sharp impact on plunger re-engagement. Root factors: Elevated viscosity (893.3 cP) increases rod downstroke fluid drag; Low wellbore temperature (113.8 °F) exacerbates fluid thickening; Severe mechanical impact spike detected on downstroke (slope_z=78.3).,IMMEDIATE ACTION: Reduce VFD stroke speed from 7.2 SPM to 5.4 SPM to restore gravity downstroke tracking. Schedule CSS (Cyclic Steam Stimulation) / diluent injection to reduce crude viscosity. Inspect rod string for compressive buckling.,Elevated viscosity (893.3 cP) increases rod downstroke fluid drag | Low wellbore temperature (113.8 °F) exacerbates fluid thickening | Severe mechanical impact spike detected on downstroke (slope_z=78.3)
eb2b4c8d,WELL-020,Gas Interference,Normal,0.5964,0.5964,0.0003,0.0007,0.4027,12.8,Low,val,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating parameters within nominal thresholds.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,
c439c0a1,WELL-018,Rod Floating,Rod Floating,0.9999,0.0001,0.9999,0.0,0.0,79.0,High,train,Severe downstroke rod deceleration diagnosed. Downstroke velocity lag caused by heavy crude drag (666 cP) and pumping speed (9.7 SPM) creates compressive rod stress and sharp impact on plunger re-engagement. Root factors: Elevated viscosity (666.0 cP) increases rod downstroke fluid drag; High pumping speed (9.7 SPM) exceeds rod free-fall velocity limit; Severe mechanical impact spike detected on downstroke (slope_z=189.3).,IMMEDIATE ACTION: Reduce VFD stroke speed from 9.7 SPM to 7.3 SPM to restore gravity downstroke tracking. Schedule CSS (Cyclic Steam Stimulation) / diluent injection to reduce crude viscosity. Inspect rod string for compressive buckling.,Elevated viscosity (666.0 cP) increases rod downstroke fluid drag | High pumping speed (9.7 SPM) exceeds rod free-fall velocity limit | Severe mechanical impact spike detected on downstroke (slope_z=189.3)
a026636f,WELL-017,Rod Floating,Rod Floating,0.9957,0.0043,0.9957,0.0,0.0,69.5,High,val,Severe downstroke rod deceleration diagnosed. Downstroke velocity lag caused by heavy crude drag (784 cP) and pumping speed (7.6 SPM) creates compressive rod stress and sharp impact on plunger re-engagement. Root factors: Elevated viscosity (784.4 cP) increases rod downstroke fluid drag; High pumping speed (7.6 SPM) exceeds rod free-fall velocity limit; Low wellbore temperature (106.4 °F) exacerbates fluid thickening.,IMMEDIATE ACTION: Reduce VFD stroke speed from 7.6 SPM to 5.7 SPM to restore gravity downstroke tracking. Schedule CSS (Cyclic Steam Stimulation) / diluent injection to reduce crude viscosity. Inspect rod string for compressive buckling.,Elevated viscosity (784.4 cP) increases rod downstroke fluid drag | High pumping speed (7.6 SPM) exceeds rod free-fall velocity limit | Low wellbore temperature (106.4 °F) exacerbates fluid thickening
83226871,WELL-016,Normal,Normal,0.992,0.992,0.0064,0.0,0.0016,4.1,Low,val,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
5aee7154,WELL-004,Fluid Pound,Fluid Pound,0.9999,0.0,0.0001,0.9999,0.0,82.1,Critical,train,"Incomplete pump barrel fillage diagnosed due to reservoir inflow deficit (2047 ft fluid level). Plunger free-falls through vapor pocket before abruptly impacting fluid surface on downstroke, transmitting shock waves to polished rod and gearbox. Root factors: Depleted fluid column (2047 ft above pump) indicates pump-off condition; Low pump submergence ratio (49.8%); Sharp fluid-surface impact shock detected (slope_z=141.7); Depressed minimum load (4282 lbf) flags plunger free-fall inside barrel.",IMMEDIATE ACTION: Throttle pump speed from 6.4 SPM to 4.5 SPM or activate automatic Pump-Off Controller (POC) with intermittent timer (duty cycling) to permit annular fluid recovery. Inspect valves and rod guides.,Depleted fluid column (2047 ft above pump) indicates pump-off condition | Low pump submergence ratio (49.8%) | Sharp fluid-surface impact shock detected (slope_z=141.7) | Depressed minimum load (4282 lbf) flags plunger free-fall inside barrel
c847a9a9,WELL-004,Rod Floating,Rod Floating,0.9998,0.0002,0.9998,0.0,0.0,69.9,High,train,Severe downstroke rod deceleration diagnosed. Downstroke velocity lag caused by heavy crude drag (763 cP) and pumping speed (7.3 SPM) creates compressive rod stress and sharp impact on plunger re-engagement. Root factors: Elevated viscosity (763.0 cP) increases rod downstroke fluid drag; Severe mechanical impact spike detected on downstroke (slope_z=72.9).,IMMEDIATE ACTION: Reduce VFD stroke speed from 7.3 SPM to 5.5 SPM to restore gravity downstroke tracking. Schedule CSS (Cyclic Steam Stimulation) / diluent injection to reduce crude viscosity. Inspect rod string for compressive buckling.,Elevated viscosity (763.0 cP) increases rod downstroke fluid drag | Severe mechanical impact spike detected on downstroke (slope_z=72.9)
0c6fd953,WELL-004,Gas Interference,Gas Interference,0.7817,0.2174,0.0,0.0009,0.7817,37.1,Medium,train,Compressible free gas inside the pump barrel is delaying traveling valve opening on downstroke. Volumetric lifting capacity is degraded due to cyclic gas compression. Root factors: Narrow load swing (2410 lbf) reflects cushioned valve response.,ADVISORY: Monitor casinghead gas backpressure. Optimize stroke length vs SPM to maximize compression ratio in barrel.,Narrow load swing (2410 lbf) reflects cushioned valve response
7a98c88c,WELL-011,Gas Interference,Gas Interference,0.7064,0.2927,0.0001,0.0008,0.7064,29.0,Medium,train,Compressible free gas inside the pump barrel is delaying traveling valve opening on downstroke. Volumetric lifting capacity is degraded due to cyclic gas compression. Root factors: Narrow load swing (4220 lbf) reflects cushioned valve response.,ADVISORY: Monitor casinghead gas backpressure. Optimize stroke length vs SPM to maximize compression ratio in barrel.,Narrow load swing (4220 lbf) reflects cushioned valve response
bdf6ef75,WELL-008,Fluid Pound,Fluid Pound,1.0,0.0,0.0,1.0,0.0,68.2,High,train,"Incomplete pump barrel fillage diagnosed due to reservoir inflow deficit (2352 ft fluid level). Plunger free-falls through vapor pocket before abruptly impacting fluid surface on downstroke, transmitting shock waves to polished rod and gearbox. Root factors: Depleted fluid column (2352 ft above pump) indicates pump-off condition; Sharp fluid-surface impact shock detected (slope_z=58.5); Depressed minimum load (3706 lbf) flags plunger free-fall inside barrel.",IMMEDIATE ACTION: Throttle pump speed from 7.2 SPM to 5.0 SPM or activate automatic Pump-Off Controller (POC) with intermittent timer (duty cycling) to permit annular fluid recovery. Inspect valves and rod guides.,Depleted fluid column (2352 ft above pump) indicates pump-off condition | Sharp fluid-surface impact shock detected (slope_z=58.5) | Depressed minimum load (3706 lbf) flags plunger free-fall inside barrel
0782545a,WELL-014,Rod Floating,Rod Floating,0.9999,0.0,0.9999,0.0,0.0,85.2,Critical,train,Severe downstroke rod deceleration diagnosed. Downstroke velocity lag caused by heavy crude drag (796 cP) and pumping speed (10.1 SPM) creates compressive rod stress and sharp impact on plunger re-engagement. Root factors: Elevated viscosity (796.3 cP) increases rod downstroke fluid drag; High pumping speed (10.1 SPM) exceeds rod free-fall velocity limit; Severe mechanical impact spike detected on downstroke (slope_z=171.4).,IMMEDIATE ACTION: Reduce VFD stroke speed from 10.1 SPM to 7.6 SPM to restore gravity downstroke tracking. Schedule CSS (Cyclic Steam Stimulation) / diluent injection to reduce crude viscosity. Inspect rod string for compressive buckling.,Elevated viscosity (796.3 cP) increases rod downstroke fluid drag | High pumping speed (10.1 SPM) exceeds rod free-fall velocity limit | Severe mechanical impact spike detected on downstroke (slope_z=171.4)
f7299559,WELL-010,Rod Floating,Rod Floating,0.9999,0.0001,0.9999,0.0,0.0,77.5,High,train,Severe downstroke rod deceleration diagnosed. Downstroke velocity lag caused by heavy crude drag (550 cP) and pumping speed (10.8 SPM) creates compressive rod stress and sharp impact on plunger re-engagement. Root factors: High pumping speed (10.8 SPM) exceeds rod free-fall velocity limit; Severe mechanical impact spike detected on downstroke (slope_z=133.1).,IMMEDIATE ACTION: Reduce VFD stroke speed from 10.8 SPM to 8.1 SPM to restore gravity downstroke tracking. Schedule CSS (Cyclic Steam Stimulation) / diluent injection to reduce crude viscosity. Inspect rod string for compressive buckling.,High pumping speed (10.8 SPM) exceeds rod free-fall velocity limit | Severe mechanical impact spike detected on downstroke (slope_z=133.1)
72da51f8,WELL-019,Normal,Normal,0.9743,0.9743,0.0244,0.0,0.0013,3.9,Low,train,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
8238360f,WELL-011,Fluid Pound,Fluid Pound,1.0,0.0,0.0,1.0,0.0,88.0,Critical,train,"Incomplete pump barrel fillage diagnosed due to reservoir inflow deficit (1530 ft fluid level). Plunger free-falls through vapor pocket before abruptly impacting fluid surface on downstroke, transmitting shock waves to polished rod and gearbox. Root factors: Depleted fluid column (1530 ft above pump) indicates pump-off condition; Low pump submergence ratio (35.2%); Sharp fluid-surface impact shock detected (slope_z=94.2); Depressed minimum load (4207 lbf) flags plunger free-fall inside barrel.",IMMEDIATE ACTION: Throttle pump speed from 4.7 SPM to 3.3 SPM or activate automatic Pump-Off Controller (POC) with intermittent timer (duty cycling) to permit annular fluid recovery. Inspect valves and rod guides.,Depleted fluid column (1530 ft above pump) indicates pump-off condition | Low pump submergence ratio (35.2%) | Sharp fluid-surface impact shock detected (slope_z=94.2) | Depressed minimum load (4207 lbf) flags plunger free-fall inside barrel
d44cf8f3,WELL-012,Rod Floating,Rod Floating,0.9999,0.0,0.9999,0.0,0.0,84.4,Critical,train,Severe downstroke rod deceleration diagnosed. Downstroke velocity lag caused by heavy crude drag (641 cP) and pumping speed (11.0 SPM) creates compressive rod stress and sharp impact on plunger re-engagement. Root factors: Elevated viscosity (640.6 cP) increases rod downstroke fluid drag; High pumping speed (11.0 SPM) exceeds rod free-fall velocity limit; Low wellbore temperature (114.1 °F) exacerbates fluid thickening; Severe mechanical impact spike detected on downstroke (slope_z=160.0).,IMMEDIATE ACTION: Reduce VFD stroke speed from 11.0 SPM to 8.3 SPM to restore gravity downstroke tracking. Schedule CSS (Cyclic Steam Stimulation) / diluent injection to reduce crude viscosity. Inspect rod string for compressive buckling.,Elevated viscosity (640.6 cP) increases rod downstroke fluid drag | High pumping speed (11.0 SPM) exceeds rod free-fall velocity limit | Low wellbore temperature (114.1 °F) exacerbates fluid thickening | Severe mechanical impact spike detected on downstroke (slope_z=160.0)
3e1b64b8,WELL-003,Fluid Pound,Fluid Pound,1.0,0.0,0.0,1.0,0.0,73.4,High,val,"Incomplete pump barrel fillage diagnosed due to reservoir inflow deficit (2227 ft fluid level). Plunger free-falls through vapor pocket before abruptly impacting fluid surface on downstroke, transmitting shock waves to polished rod and gearbox. Root factors: Depleted fluid column (2227 ft above pump) indicates pump-off condition; Low pump submergence ratio (37.7%); Sharp fluid-surface impact shock detected (slope_z=90.2).",IMMEDIATE ACTION: Throttle pump speed from 4.4 SPM to 3.1 SPM or activate automatic Pump-Off Controller (POC) with intermittent timer (duty cycling) to permit annular fluid recovery. Inspect valves and rod guides.,Depleted fluid column (2227 ft above pump) indicates pump-off condition | Low pump submergence ratio (37.7%) | Sharp fluid-surface impact shock detected (slope_z=90.2)
6db77ce2,WELL-010,Normal,Normal,0.9437,0.9437,0.0533,0.0,0.003,5.5,Low,train,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
291b774a,WELL-009,Normal,Normal,0.993,0.993,0.0011,0.0001,0.0058,4.0,Low,train,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
3c895e99,WELL-014,Gas Interference,Normal,0.7779,0.7779,0.0002,0.0001,0.2218,15.3,Low,train,Sucker-rod card exhibits uniform load profile and normal full-stroke work envelope. Operating within nominal mechanical baseline.,Maintain baseline pumping parameters. Continue regular SCADA monitoring and scheduled lubrication.,Operating within nominal mechanical baseline
65da8c07,WELL-020,Rod Floating,Rod Floating,0.9999,0.0001,0.9999,0.0,0.0,84.8,Critical,val,Severe downstroke rod deceleration diagnosed. Downstroke velocity lag caused by heavy crude drag (843 cP) and pumping speed (8.4 SPM) creates compressive rod stress and sharp impact on plunger re-engagement. Root factors: Elevated viscosity (843.0 cP) increases rod downstroke fluid drag; High pumping speed (8.4 SPM) exceeds rod free-fall velocity limit; Low wellbore temperature (107.5 °F) exacerbates fluid thickening; Severe mechanical impact spike detected on downstroke (slope_z=106.6).,IMMEDIATE ACTION: Reduce VFD stroke speed from 8.4 SPM to 6.3 SPM to restore gravity downstroke tracking. Schedule CSS (Cyclic Steam Stimulation) / diluent injection to reduce crude viscosity. Inspect rod string for compressive buckling.,Elevated viscosity (843.0 cP) increases rod downstroke fluid drag | High pumping speed (8.4 SPM) exceeds rod free-fall velocity limit | Low wellbore temperature (107.5 °F) exacerbates fluid thickening | Severe mechanical impact spike detected on downstroke (slope_z=106.6)
0bf4c09e,WELL-002,Fluid Pound,Fluid Pound,1.0,0.0,0.0,1.0,0.0,75.8,High,train,"Incomplete pump barrel fillage diagnosed due to reservoir inflow deficit (2391 ft fluid level). Plunger free-falls through vapor pocket before abruptly impacting fluid surface on downstroke, transmitting shock waves to polished rod and gearbox. Root factors: Depleted fluid column (2391 ft above pump) indicates pump-off condition; Low pump submergence ratio (48.5%); Sharp fluid-surface impact shock detected (slope_z=142.8).",IMMEDIATE ACTION: Throttle pump speed from 7.0 SPM to 4.9 SPM or activate automatic Pump-Off Controller (POC) with intermittent timer (duty cycling) to permit annular fluid recovery. Inspect valves and rod guides.,Depleted fluid column (2391 ft above pump) indicates pump-off condition | Low pump submergence ratio (48.5%) | Sharp fluid-surface impact shock detected (slope_z=142.8)
